Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
,,,,"In 2019, the CT Center for Fair Housing partnered with Trinity College students Kaytlin Ernske '20 and Sophia Lopez '22 to better understand the effects of aggressive urban renewal and the impact of discriminatory housing policies in Willimantic’s Business District. With support from Trinity's Center for Hartford Engagement and Research, the students worked with the Connecticut Studies Collection at Eastern Connecticut State University, Towne Engineering, Inc., members of the Willimantic City Council, the Willimantic Town Hall, the Mill Museum, and Willimantic residents to collect public records, newspapers, maps, municipal policy documents, public meeting minutes, and photo archives.<br><br>In this virtual tour, we explore how Willimantic’s urban renewal agenda of the 1960s and 1970s both socially and economically transformed the small borough n Windham, Connecticut. The story is designed to illuminate the effects of aggressive urban renewal and highlight the impact of discriminatory housing policies on our urban centers.",,,,,,,,,,
"Willimantic, Windham, Connecticut",https://live.staticflickr.com/65535/48374162511_f837d1a24e.jpg,Towne Engineering Inc.,http://www.towneengineeringinc.com/,"Throughout the second half of the 20th century, cities across the country received federal funds for urban renewal projects.  In the 1960s, Willimantic, a borough of Windham, Connecticut planned a project that would devastate it’s downtown area, and would decimate a predominantly Latino neighborhood. 
Known as the “Thread City” for its textile mill industry, the city fell victim to deindustrialization. After decades of economic decline and increasing immigrant populations, the local government finally decided to attempt to revitalize the borough’s central business district to create economic prosperity. However, their efforts at urban renewal didn’t succeed as planned; and consisted of demolishing housing and small businesses to build parking lots and open fields in their place. 
The most obvious remnant left is the creation of Jillson Square Park, which was once three streets, Temple, Center and Broad, zoned for commercial and multi-family residential use. The low-income Puerto Rican families that lived on these blocks were displaced, often with no replacement housing offered to them, and many of their small businesses never recovered. This digital tour will examine other instances and impacts of urban renewal in Willimantic.
",16,1,,411 Main Street Willimantic,41.7109656,-72.2057039,,,,
The Willimantic Mill Industry,https://live.staticflickr.com/65535/48366932631_e8e1ebda57.jpg,"Eastern Connecticut State University Connecticut Studies, Karen Morgan",http://www.easternct.edu/connecticutstudies/,"The historic mill industry in Willimantic is the center of the city’s rich history. During the industrial revolution, cotton, thread, and textile mills emerged on the river banks in Willimantic. As the mill industry grew the borough expanded and developed. In the 1850s and 60s, the mills were operated by Irish immigrants, followed by Eastern European immigrants in the 1900s, and majority Puerto Rican immigrants beginning in the 1950s. Since then, the Puerto Rican population has continued to call Willimantic home despite the decline of the mill industry, which is in part responsible for limited economic prosperity in Willimantic. The first company to use mills in Willimantic was the Willimantic Linemen Company (1854-1898), which was then bought by the English-owned American Thread company, which was the last of mill companies to move down south because of frugality. Currently, former-mills have been repurposed into offices, apartments, artist studios and warehouses as a part of contemporary urban renewal efforts in Willimantic.",18,2,,"411 Main St, Willimantic, CT 06226",41.7109656,-72.2057039,,,,
The Willimantic River,https://live.staticflickr.com/65535/48367070202_9f1ae600ac.jpg,The Mill Museum -- The Windham Textile and History Museum,https://millmuseum.org/,"The Willimantic River runs for 25 miles through historic mill towns in northeast Connecticut. The success of the Willimantic mill industry was made possible by the nearly one mile stretch in the Willimantic River in which it drops more than 90 feet. Dams were built by mill companies along the river to create enough hydropower to power the massive thread, cotton and textile mills in Willimantic, ultimately creating enough industry to establish the city in the 1820s. However, by the 1950s, mills could be powered in more efficient ways and no longer needed to be near rivers. The mill industry faded in Willimantic as companies left for cost efficiency.",18,3,,"South St, Willimantic, CT 06226",41.7040633,-72.2098182,,,,
Company-Owned Row Housing,https://live.staticflickr.com/65535/48366934626_8a2fe31819.jpg,"Kaytlin Ernske, Sophia Lopez",,"The mill industry in Willimantic grew faster than the city could provide housing for the influx in immigrant populations. For this reason, mill companies built roughly 60 two-family duplexes on Main Street, only a short walk from the mills. This form of housing was called row houses, also known as cookie cutter housing because they all looked identical. Row housing was only available to immigrant mill workers, and rent fees were docked from their wages. To save money, it was extremely popular for immigrant mill working families to live together, which led to the creation of zoning laws against multiple families living in a single apartment. However, in 1938, the American Thread corporation sold the row housing to working and middle class families for nearly $300 each. Soon after, a hurricane destroyed the recently bought houses and they continued to decay from lack of maintenance.",16,4,,"305 Main Street, Willimantic, CT 06226",41.7117779,-72.2042926,,,,
The Victorian Neighborhood,https://live.staticflickr.com/65535/48374029946_9a0886d727.jpg,"Kaytlin Ernske, Sophia Lopez","https://victorianwillimantic.org/WVNA_2018/hometours2019/, https://www.ct.gov/dot/cwp/view.asp?a=3836&q=450758","
The Prospect Hill Historic District is characterized by its abundance of vintage architecture, more importantly, its Victorian cottages. In the 1880s these Victorian cottages were built by the mill corporations to improve the quality of life of executive mill employees, as well as to attract skilled workers and soothe employee discontent. As Willimantic expanded, the wealthiest residents lived in these Victorian cottages in the Hill District, while impoverished immigrant workers lived close to the factories in unmaintained row housing. For high skilled workers, rents in these Victorian cottages were fixed at 12.5% of the workers’ wages. Housing for migrant workers was not income restricted, and often created a greater rent burden for lower wage employees at the mill. In 1938 the Mills sold these houses, and they deteriorated from lack of maintenance.
",16,5,,"190 Summit Street, Willimantic, CT, 06226",41.7174126,-72.2116041,,,,
Local Politics and Urban Renewal,https://live.staticflickr.com/65535/48367071867_17d4ccaf92.jpg,Willimantic Daily Chronicle,http://www.easternct.edu/connecticutstudies/,"On June 13, 1966 the Common Council of Willimantic took the first steps towards urban renewal by creating the Willimantic Redevelopment Agency (WRA). The WRA was comprised of five members appointed by the mayor, who were to oversee, make executive decisions, and gather funds for redevelopment initiatives. The WRA also adopted a housing code to create a new standard for housing in Willimantic. The code outlines specific regulations for different aspects of housing like minimum ventilation requirements. However, the housing code was not effectively implemented.

",14,6,,"979 Main Street, Willimantic, CT 06226",41.7134007,-72.217677,,,,
Unsatisfactory Housing for VISTA Volunteers,https://live.staticflickr.com/65535/48366933136_e72245d4d8.jpg,The Hartford Times,http://www.easternct.edu/connecticutstudies/,"In 1968, Eastern Connecticut State University worked with WACAP and The Corporation for National and Community Service (CNCS), a federal agency working to improve the lives of Americans through service projects, to sponsor an AmeriCorps*VISTA (Volunteers In Service To America) program to address poverty in Willimantic. VISTA volunteers serve in the nation’s most impoverished areas and must live in the circumstances of those they serve. It was not uncommon for VISTA volunteers in Willimantic to withdraw from the program because they found life in Willimantic housing unbearable. Roy and Maud Henderson, a retired couple from the Ozark mountains of Arkansas learned about the program from a television ad, applied, trained at headquarters in New Haven and were assigned to serve in Willimantic. The couple was greatly unsatisfied with their housing and after much thought decided to drop the program, explaining, “‘Our quarters in Willimantic were just something we couldn't put up with..our room had a bed, bureau and two straight-backed chairs. We had to share a bath with the whole floor — about 15 rooms.’” VISTA gave the couple each $4 a day for room and board with two meals. But that was not cheap enough to live in a private apartment which led the Hendersons to live in boarding house-style quarters with other Willimantic residents facing the problem of housing insecurity. William R. Olds, director of WACAP explained that the quality of housing for VISTA participants was deficient, but was an honest reflection of the housing instability struggles of impoverished Willimantic families. 
",16,7,,"83 Windham Street, Willimantic, CT 06226",41.7188674,-72.2190755,,,,
Model Cities Application,https://live.staticflickr.com/65535/48367071462_0e3893c326.jpg,Eastern Connecticut State University Connecticut Studies,http://www.easternct.edu/connecticutstudies/,"
Urban renewal in Willimantic began on February 7, 1968 when the Board of Finance gave Mayor Stanley Kokoska its approval to prepare and complete an application for the Model Cities Program. This federal program “provides 80 percent of the funds needed for projects while the city pars the remaining 20 percent.” This completion of the application was driven by Mayor Kokoska's and publically well supported. 
",17,8,,"979 Main Street, Willimantic, CT 06226",41.7134007,-72.217677,,,,
The 1968 Valentines Day Fire,https://live.staticflickr.com/65535/48367071867_17d4ccaf92.jpg,Eastern Connecticut State University Connecticut Studies,http://www.easternct.edu/connecticutstudies/,"On February 14, 1968, a massive fire erupted at the Sherwin-Williams paint store on Main St. It destroyed many buildings, nine businesses, and the First Baptist Church. The fire displaced 25 families.",16,9,,"679 Main Street, Willimantic, CT, 06226",41.7119998,-72.2117189,,,,
Sherwin Williams Paint Store,https://live.staticflickr.com/65535/48367070932_ff3698efae_z.jpg,Windham Community Resident,,"Coincidentally, the fire’s location was in a target area for a prospective comprehensive urban renewal program that the Willimantic Community Redevelopment Agency (WRA) was awaiting federal funding for. The fire prompted a series of redevelopment efforts, which pressured HUD to approve the grant applications needed for the new program.",18,10,,"679 Main Street, Willimantic, CT, 06226",41.7119998,-72.2117189,,,,
The Urban Renewal of Jillson Square,https://live.staticflickr.com/65535/48373428886_44de4e81ea.jpg,"Eastern Connecticut State University Connecticut Studies, Peter Joseph",http://www.easternct.edu/connecticutstudies/,"What is now Jillson Square use to be a thriving neighborhood including Temple Street, Center Street, and Broad Street. Previously zoned for multi-family residential and commercial use, Pomeroy Block as it was known locally, was home to a market, cultural membership clubs, a barber shop, churches and over a hundred families.",16,11,,"533 Main Street, Willimantic, CT 06226",41.7109889,-72.209658,,,,
Temple Street,https://live.staticflickr.com/65535/48374162511_f837d1a24e_z.jpg,Windham Community Resident,,"The above insurance map shows Temple Street abutted the First Baptist Church, still located at the corner of Jillson Square. It was home to many mixed use buildings that included small storefronts on the lower level and family residents in the second and third floor. The colors on the map indicate the type of material the building was made out of. Yellow indicated a wood structure, pink was brick, and blue was stone.",15,12,,"533 Main Street, Willimantic, CT 06226",41.7109889,-72.209658,,,,
Center Street,https://live.staticflickr.com/65535/48414199217_533de72f94_z.jpg,Windham Community Resident,,Center Street prior to urban renewal demolition. The building pictured was home to a thriving French Club.,14,13,,"Jilson Square, Willimantic, CT",41.7115528,-72.2097915,,,,
Jackson Street,https://live.staticflickr.com/65535/48414051676_9e5107b5c2_z.jpg,Windham Community Resident,,"On Jackson Street this building was formerly a fire house known as the Montgomery Hose Company. To the right was home to a Knights of Columbus. There is significant evidence that this small block (Pomeroy Block) was a space for cultural, ethnic, and farterneral membership organizations prior to urban renewal.",18,14,,"Jilson Square, Willimantic, CT",41.7115528,-72.2097915,,,,
Jillson House,https://live.staticflickr.com/65535/48367071662_e7627832f0.jpg,Windham Historical Society,http://www.windhamhistory.org/about.htm,"On the corner of Jilson Square is Jillson House and is the only building on the square to survive urban renewal.During the urban renewal efforts in the 1970’s, the building was targeted for demolition. However, its preservation was advocated for by many and was eventually added to the National Register of Historic Places. During urban renewal, the house was restored by the WRA and was sold to the Windham Historical Society.   It was built by the Jillson family in 1825 with stone quarried from a nearby riverbed. It was considered one of the finest stone houses at the time, and still remains a distinctive building in Willimantic. It is interesting that other stone structures were not protected, and that this single family home was.",16,15,,"627 Main Street, Willimantic, CT, 06226",41.711155,-72.2096136,,,,
The Demise of the Neighborhood: Jackson Street,https://live.staticflickr.com/65535/48367072102_27cfd76edb.jpg,Windham Community Resident,,"Although Jackson Street was never considered a nice residential area, it did have thriving commerce from the private clubs, bars, dry cleaners, barber shops, and other storefronts. The building to the right is of Borodach’s Market on the Corner of Jackson and Valley St. which was demolished during the construction of Jillson Square park.",16,16,,"114  Jackson St Willimantic, CT 06226",41.7136236,-72.2074044,,,,
Abandonment Long Before Demolition,https://live.staticflickr.com/65535/48414048886_78426f72d0_z.jpg,Windham Community Resident,,"It is unclear how long buildings remained vacant before being torn down. City record indicates that families were evicted as many as 5 years before demolition, which caused significant and rapid blight. Articles from the Chronicle explained that property owners in the area knew demolition was a matter of time, and stopped maintaining the properties years before vacancy. Rapid devastation of the area was likely to increase public support for demolition.",18,17,,"350 Valley Street Willimantic, CT 06226",41.7152964,-72.2211576,,,,
Prospect Street Housing Inspections,https://live.staticflickr.com/65535/48373631091_9277d4636f.jpg,The Chronicle,http://www.easternct.edu/connecticutstudies/,"In December of 1967, John F. Boucher, the city housing code enforcement officer inspected a total of 40 apartments in 19 buildings on Prospect Street for housing code infractions. Some infractions mentioned were improper garbage disposal, lack of running water, lack of heating, cooling and hot water. Despite claiming an inability to resolve these low-income housing infractions, in the same month the local government invested $12,887 on urban renewal efforts to beautify and maintain Willimantic.",16,18,,"186 Prospect Street, Willimantic, CT 06226",41.7157089,-72.2123898,,,,
Scandal at The Hurley Grant Building,https://live.staticflickr.com/65535/48366933966_f862cdfe8a.jpg,Eastern Connecticut State University Connecticut Studies,http://www.easternct.edu/connecticutstudies/,"The Hurley Grant building was proposed to be changed from “rehabilitation status” to “to be acquired” status. It was uncovered that this building was owned by Dr. Rudolph Pino, a WRA Chairman, who purchased the building 18 months prior. He stated that he intended to rehabilitate the building but it was too expensive and there was no conflict of interest. However, HUD found Dr. Pino’s involvement in violation of the contract between HUD and the WRA. Nevertheless, the WRA agreed to buy the building profiting Dr. Pino by $40,000. HUD threatened to freeze funding, and the state agreed. On January 17, 1974 the CDCA withdrew 1.4 million in funding. Pino was replaced which satisfied HUD officials, and the plans continued. However, this led HUD to uncover numerous infractions among Commissioners.",16,19,,"696-704 Main St, Willimantic, CT 06226",41.7117347,-72.2119557,,,,
Acquiring Property Through Eminent Domain,https://live.staticflickr.com/65535/48366933806_a5a9432bb0.jpg,The Chronicle,http://www.easternct.edu/connecticutstudies/,"The 726 Main Street building owned by Melvin Rosenburg was the 12th piece of property the WRA decided to acquire through eminent domain procedures. This building was in the Central Business District, a target area for urban renewal. Although Rosenburg consistently protested the WRA’s efforts to purchase his properties at 726 and 734 Main St. - one of which housed his store, Terry’s - the WRA did acquire this building.",16,20,,"726 Main Street, Willimantic, CT 06226",41.7116438,-72.2127989,,,,
Church Street Destruction,https://live.staticflickr.com/65535/48414201632_1c1cf6b664_z.jpg,Windham Community Resident,,Church Street during demolition.,18,21,,"Church Street Willimantic, CT 06226",41.7155503,-72.2105766,,,,
Business Owners Speak Out on Displacement,https://live.staticflickr.com/65535/48373946302_2da5d8a539.jpg,"Colette Butterick, Bob Epperson and Elizabeth Shafnacker",http://sabafamily.net/weblog/2012/12/the-people-parade-a-willimantic-snapshot-1978/,"Michael Ziesing the owner of Ziesing Bros. Book Emporium and spokesperson for the Association of Independent Merchants (AIM) criticized the WRA’s renewal efforts claiming the Agency was tearing down buildings and not replacing them, as well as relocating displaced businesses to areas with poorer business prospects.",18,22,,"1132 Main Street, Willimantic, CT 06226",41.713049,-72.222865,,,,
Public Clearance for Private Enterprise,https://live.staticflickr.com/924/43403259902_abc3b0df11_z.jpg,,,"One of the many challenges of urban renewal across the country was that housing that was demolished was only ever replaced 3:1. One of the specific goals of Title 1 of 1949 Federal Housing Act was public demolition for private enterprise. Unfortunately, private housing development rarely followed.",16,23,,"49 West Avenue Willimantic, CT 06226",41.7184319,-72.2323108,,,,
